Course,Average Grade,Hours
MA 322X - Actuarial Estimation of Unpaid Claims,A+,1-5 hr/week
MA 464xX - Introduction to Time Series Analysis,A,1-5 hr/week
MA 501 - Engineering Mathematics,A+,6-10 hr/week
MA 502 - Linear Algebra�,A,6-10 hr/week
MA 503 - Lebesgue Measure And Integration,D,11-15 hr/week
MA 508 - Mathematical Modeling,A-,11-15 hr/week
MA 511- Applied Statistics For Engineers And Scientis,B+,11-15 hr/week
MA 514 - Numerical Linear Algebra,A+,1-5 hr/week
MA 529 - Stochastic Processes,A+,6-10 hr/week
MA 535 - Algebra.,B+,6-10 hr/week
MA 540 - Probability And Mathematical Statistics |,A+,1-5 hr/week
MA 542 - Regression Analysis,A,6-10 hr/week
MA 547 - Design and Analysis of Observational and Sa,A+,6-10 hr/week
MA 556 - Applied Bayesian Statistics,C+,21+ hr/week
MA 559 - Statistics Graduate Seminar,A+,1-5 hr/week
MA 590 - ST: Numerical Methods for Nonlinear Equatic,A-,6-10 hr/week
MA 590 - ST: Probabilistic Methods in Combinatorics a,A+,6-10 hr/week
MA 1020 - Calculus | With Preliminary Topics,A-,1-5 hr/week
MA 1021- Calculus!,A-,1-5 hr/week
MA 1022 - Calculus II,A,1-5 hr/week
MA 1023 - Calculus II,A-,6-10 hr/week
MA 1024 - Calculus IV,A-,1-5 hr/week
MA 1033 - Theoretical Calculus III,A,1-5 hr/week
MA 1034 - Theoretical Calculus IV,A,1-5 hr/week
MA 1120 - Calculus I W/ Prelim Topics,B+,6-10 hr/week
MA 1801 - Denksport,A+,1-5 hr/week
MA 1971 - Bridge To Higher Mathematics,A,1-5 hr/week
MA 2051 - Ordinary Differential Equations,A,1-5 hr/week
MA 2071 - Matrices And Linear Algebra!,A+,1-5 hr/week
MA 2072 - Accelerated Matrices And Linear Algebra |,A,6-10 hr/week
MA 2073 - Matrices And Linear Algebra II,A+,6-10 hr/week
MA 2211 - Theory Of Interest I,A,1-5 hr/week
MA 2212 - Theory Of Interest II,A+,11-15 hr/week
MA 2251 - Vector And Tensor Calculus,A,1-5 hr/week
MA 2273 - Combinatorics,B+,11-15 hr/week
MA 2431 - Mathematical Modeling With Ordinary Diff,B+,1-5 hr/week
MA 2610 - Applied Statistics For The Life Sciences,A+,1-5 hr/week
MA 2611 - Applied Statistics |,A,1-5 hr/week
MA 2612 - Applied Statistics II,A+,6-10 hr/week
MA 2621 - Probability For Applications,A+,1-5 hr/week
MA 3212 - Actuarial Mathematics |,B,1-5 hr/week
MA 3231 - Linear Programming,A+,1-5 hr/week
MA 3471 - Advanced Ordinary Differential Equations,A+,6-10 hr/week
MA 3627 - Introduction To The Design And Analysis Of,A+,6-10 hr/week
MA 3631 - Mathematical Statistics,A-,6-10 hr/week
MA 3823 - Group Theory,A+,6-10 hr/week
MA 3825 - Rings And Fields,D,11-15 hr/week
MA 3832 - Principles Of Real Analysis II,A-,6-10 hr/week
MA 4213 - Loss Models |- Risk Theory,A,1-5 hr/week
MA 4235 - Mathematical Optimization,B+,6-10 hr/week
MA 4291 - Applied Complex Variables,A-,1-5 hr/week
MA 4451 - Boundary Value Problems,B+,1-5 hr/week
MA 4891 - ST: Topology,A+,6-10 hr/week
OIE 558 - Designing And Managing Lean Six Sigma Pro,A,1-5 hr/week
AE 5134- Plasma Dynamics,B,6-10 hr/week
MA 322X - Actuarial Estimation of Unpaid Claims,A+,1-5 hr/week
MA 464xX - Introduction to Time Series Analysis,A,1-5 hr/week
