Course,Average Grade,Hours
BME 301X - Physiological Signals Lab 2: Applications,A+,1-5 hr/week
BME 360X - Biotransport Laboratory | Techniques,A+,11-15 hr/week
BME 430X - Biomedical Capstone - Design from the Mz,A+,6-10 hr/week
BME 481X- Cellular Engineering: Applications,B+,16-20 hr/week
BME 523 - Biomedical Instrumentation,A+,1-5 hr/week
BME 530 - Biomedical Materials,D,6-10 hr/week
BME 531 - Biomaterials In The Design Of Medical Devi,A+,6-10 hr/week
BME 532 - Medical Device Regulation,A,1-5 hr/week
BME 533 - Medical Device Innovation and Developmen,A,1-5 hr/week
BME 550 - Tissue Engineering,A+,1-5 hr/week
BME 552 - Tissue Mechanics,A+,1-5 hr/week
BME 560 - Physiology For Engineers,A+,1-5 hr/week
BME 562 - Laboratory Animal Surgery,A+,1-5 hr/week
BME 580 - Biomedical Robotics,A,6-10 hr/week
BME 583 - Biomedical Microscopy And Quantitative In,A,6-10 hr/week
BME 591- Graduate Seminar,A+,1-5 hr/week
BME 592 - Healthcare Systems And Clinical Practice,A+,1-5 hr/week
BME 593 - Scientific Communication,A+,16-20 hr/week
BME 595 - ST: Mechanobiology,A+,1-5 hr/week
BME 1001 - Introduction To Biomedical Engineering,A,1-5 hr/week
BME 2001 - Introduction To Biomaterials,A,1-5 hr/week
BME 2210 - Biomedical Signals,A+,6-10 hr/week
BME 2211 - Biomedical Data Analysis,A-,6-10 hr/week
BME 2502 - Introduction To Biomechanics: Stress Anal,A+,1-5 hr/week
BME 3012 - Biomedical Sensors Laboratory,A+,1-5 hr/week
BME 3013 - Biomedical Instrumentation Laboratory,A+,6-10 hr/week
BME 3014 - Physiological Signals Laboratory I: Technic,A,6-10 hr/week
BME 3111 - Physiology And Engineering,A+,1-5 hr/week
BME 3300 - Biomedical Engineering Design,A+,11-15 hr/week
BME 3503 - Skeletal Biomechanics Laboratory,A+,6-10 hr/week
BME 3505 - Solid Biomechanics Laboratory: Technique,A+,6-10 hr/week
BME 3506 - Solid Biomechanics Laboratory: Applicatic,A+,1-5 hr/week
BME 3605 - Biotransport Laboratory II: Applications,B+,6-10 hr/week
BME 3610 - Transport Analysis In Bioengineering,A,6-10 hr/week
BME 4011 - Biomedical Signal Analysis,A-,6-10 hr/week
BME 4023 - Biomedical Instrumentation Design,A,1-5 hr/week
BME 4504 - Biomechanics,A,6-10 hr/week
BME 4606 - Biofluids,A-,1-5 hr/week
BME 4701 - Cell And Molecular Bioengineering,A+,6-10 hr/week
BME 4814 - Biomaterials,B+,11-15 hr/week
BME 4828 - Biomaterial - Tissue Interactions,A+,6-10 hr/week
CS 503 - Foundations Of Computer Science,A+,6-10 hr/week
CS 509 - Design Of Software Systems,A,6-10 hr/week
CS 513- Computer Networks:,A-,11-15 hr/week
CS 522- Numerical Methods,A+,6-10 hr/week
CS 525- ST: Brain-Computer Interaction,A,1-5 hr/week
CS 525- ST: Online Learning Infrastructure,A,1-5 hr/week
CS 525- ST: Reinforcement Learning,A,6-10 hr/week
CS 525- ST: Swarm Intelligence,A-,1-5 hr/week
CS 526 - Human-Robot Interaction,A+,6-10 hr/week
CS 528 - Mobile And Ubiquitous Computing,A+,6-10 hr/week
CS 536 - Programming Language Design,A+,1-5 hr/week
CS 539 - Machine Learning,A+,1-5 hr/week
CS 542 - Database Management Systems,A+,1-5 hr/week
CS 545 - Digital Image Processing,A+,1-5 hr/week
CS 546 - Human-Computer Interaction,A+,1-5 hr/week
CS 547 - Information Retrieval,A+,6-10 hr/week
CS 548 - Knowledge Discovery And Data Mining,A+,6-10 hr/week
CS 549- Computer Vision,D,6-10 hr/week
CS 558 - Computer Network Security,A+,6-10 hr/week
CS 571- Case Studies In Computer Security,A+,6-10 hr/week
CS 573 - Data Visualization,A+,6-10 hr/week
CS 577 - Advanced Computer And Communications Net,B+,11-15 hr/week
CS 578 - Cryptography And Data Security,D,6-10 hr/week
CS 585 - Big Data Management,A+,6-10 hr/week
CS 586 - Big Data Analytics,A+,1-5 hr/week
CS 588 - Computer Science Capstone Experience,A+,11-15 hr/week
CS 673 - Advanced Cryptography,B+,6-10 hr/week
CS 1004 - Introduction To Programming For Non-Majo',A-,6-10 hr/week
CS 1101 - Introduction To Program Design,A+,6-10 hr/week
CS 1102 - Accelerated Introduction To Program Design,A,6-10 hr/week
CS 2011 - Introduction To Machine Organization And A,A+,6-10 hr/week
CS 2022 - Discrete Mathematics,A-,1-5 hr/week
CS 2102 - Object-Oriented Design Concepts,A+,6-10 hr/week
CS 2103 - Accelerated Object-Oriented Design Concept,A+,6-10 hr/week
CS 2119 - Application Building With Object-Oriented C,A+,6-10 hr/week
CS 2301 - Systems Programming For Non-Majors.,A,6-10 hr/week
CS 3013 - Operating Systems,A-,11-15 hr/week
CS 3041 - Human-Computer Interaction,A+,1-5 hr/week
CS 3043 - Social Implications Of Information Processir,A+,6-10 hr/week
CS 3133 - Foundations Of Computer Science,A,1-5 hr/week
CS 3431 - Database Systems!,A,6-10 hr/week
CS 3516 - Computer Networks,A+,6-10 hr/week
CS 3733 - Software Engineering,A+,11-15 hr/week
CS 4033 - Numerical Methods For Calculus And Differe,A,11-15 hr/week
CS 4100 - Artificial Intelligence For Interactive Media.,A+,11-15 hr/week
CS 4120 - Analysis Of Algorithms,A+,1-5 hr/week
CS 4123 - Theory Of Computation,A-,1-5 hr/week
CS 4233 - Object-Oriented Analysis And Design,A-,6-10 hr/week
CS 4241 - Webware: Computational Technology For Ne,A+,6-10 hr/week
CS 4341 - Introduction To Artificial Intelligence,A-,6-10 hr/week
CS 4342 - Machine Learning,A+,6-10 hr/week
CS 4401 - Software Security Engineering,A-,11-15 hr/week
CS 4432 - Database Systems II,A,6-10 hr/week
CS 4433 - Big Data Management and Analytics,A,11-15 hr/week
CS 4445 - Data Mining And Knowledge Discovery In Da,A,1-5 hr/week
CS 4513 - Distributed Computing Systems,A+,6-10 hr/week
CS 4516 - Advanced Computer Networks,A+,1-5 hr/week
CS 4536 - Programming Languages,A+,6-10 hr/week
CS 4731- Computer Graphics,A+,6-10 hr/week
CS 4801 - Introduction To Cryptography And Communi,A+,6-10 hr/week
CS 4804 - Data Visualization,A+,6-10 hr/week
CS 5003 - Foundations Of Computer Science: An Introd,A+,6-10 hr/week
CS 5007 - Introduction To Applications Of Computer Sc,A+,6-10 hr/week
DS 501 - Introduction To Data Science,A,6-10 hr/week
DS 502 - Statistical Methods For Data Science,A,1-5 hr/week
DS 517 - Mathematical Foundations For Data Science,A,6-10 hr/week
DS 551 - Reinforcement Learning,A+,1-5 hr/week
DS 595 - ST: Machine Learning for Engineering & Scien,A+,6-10 hr/week
DS 595 - ST: Natural Language Processing,A+,6-10 hr/week
DS 595 - ST: On-Device Deep Learning,A,1-5 hr/week
DS 595 - ST: Stochastic Processes for Generative Deep,A,1-5 hr/week
DS 1010 - Data Science |: Introduction To Data Science,A+,6-10 hr/week
DS 2010 - Data Science II: Modeling And Data Analysis,A+,1-5 hr/week
DS 3010 - Data Science III: Computational Data Intellic,A+,6-10 hr/week
DS 4635 - Data Analytics And Statistical Learning,A+,1-5 hr/week
MA 322X - Actuarial Estimation of Unpaid Claims,A+,1-5 hr/week
MA 464xX - Introduction to Time Series Analysis,A,1-5 hr/week
MA 501 - Engineering Mathematics,A+,6-10 hr/week
MA 502 - Linear Algebra�,A,6-10 hr/week
MA 503 - Lebesgue Measure And Integration,D,11-15 hr/week
MA 508 - Mathematical Modeling,A-,11-15 hr/week
MA 511- Applied Statistics For Engineers And Scientis,B+,11-15 hr/week
MA 514 - Numerical Linear Algebra,A+,1-5 hr/week
MA 529 - Stochastic Processes,A+,6-10 hr/week
MA 535 - Algebra.,B+,6-10 hr/week
MA 540 - Probability And Mathematical Statistics |,A+,1-5 hr/week
MA 542 - Regression Analysis,A,6-10 hr/week
MA 547 - Design and Analysis of Observational and Sa,A+,6-10 hr/week
