Course,Average Grade,Hours
DS 501 - Introduction To Data Science,A,6-10 hr/week
DS 502 - Statistical Methods For Data Science,A,1-5 hr/week
DS 517 - Mathematical Foundations For Data Science,A,6-10 hr/week
DS 551 - Reinforcement Learning,A+,1-5 hr/week
DS 595 - ST: Machine Learning for Engineering & Scien,A+,6-10 hr/week
DS 595 - ST: Natural Language Processing,A+,6-10 hr/week
DS 595 - ST: On-Device Deep Learning,A,1-5 hr/week
DS 595 - ST: Stochastic Processes for Generative Deep,A,1-5 hr/week
DS 1010 - Data Science |: Introduction To Data Science,A+,6-10 hr/week
DS 2010 - Data Science II: Modeling And Data Analysis,A+,1-5 hr/week
DS 3010 - Data Science III: Computational Data Intellic,A+,6-10 hr/week
DS 4635 - Data Analytics And Statistical Learning,A+,1-5 hr/week
