Course Number,Course Name,Professor,Rating,Would Take Again,Difficulty
CS 1004,Introduction To Programming For Non-Majors   ,   Gillian Smith,4.3,84%,1.7
CS 1101,Introduction To Program Design   ,   Matthew Ahrens,4.9,100%,2.3
CS 2011,Introduction To Machine Organization And Assembly Language   ,   Taylor Andrews,2.5,34%,2.9
CS 2022,Discrete Mathematics   ,   Herman Servatius,2.5,32%,3.9
CS 2102,Object-Oriented Design Concepts   ,   Matthew Ahrens,4.9,100%,2.3
CS 2119,Application Building With Object-Oriented Concepts   ,   Shubbhi Taneja,Professor not found at WPI,N/A,N/A
CS 2223,Algorithms   ,   Michael Engling,4.7,95%,2.7
CS 2223,Algorithms   ,   Yu-Shan Sun,Professor not found at WPI,N/A,N/A
CS 2301,Systems Programming For Non-Majors   ,   Jennifer Mortensen,3.7,60%,3
CS 2303,Systems Programming Concepts   ,   Jennifer Mortensen,3.7,60%,3
CS 2303,Systems Programming Concepts   ,   Yu-Shan Sun,Professor not found at WPI,N/A,N/A
CS 3013,Operating Systems   ,   Taylor Andrews,2.5,34%,2.9
CS 3013,Operating Systems   ,   Shubbhi Taneja,Professor not found at WPI,N/A,N/A
CS 3013,Operating Systems   ,   Mark Sheahan,Professor not found at WPI,N/A,N/A
CS 3041,Human-Computer Interaction   ,   Erin Solovey,Professor not found at WPI,N/A,N/A
CS 3041,Human-Computer Interaction   ,   Lane Harrison,4.7,84%,3.3
CS 3043,Social Implications Of Information Processing   ,   Paul Delvy,0.0,N/A,0
CS 3043,Social Implications Of Information Processing   ,   Micha Hofri,1.3,0%,4.6
CS 3043,Social Implications Of Information Processing   ,   Keith Pray,2.9,25%,2.9
CS 3043,Social Implications Of Information Processing   ,   Joshua Cuneo,2.7,40%,3.6
CS 3043,Social Implications Of Information Processing   ,   Michael Engling,4.7,95%,2.7
CS 3133,Foundations Of Computer Science   ,   Michael Engling,4.7,95%,2.7
CS 3133,Foundations Of Computer Science   ,   Rose Bohrer,5.0,100%,2
CS 3431,Database Systems I   ,   Rodica Neamtu,2.1,25%,3.8
CS 3431,Database Systems I   ,   Sakire Arslan Ay,5.0,100%,2
CS 3516,Computer Networks   ,   Xiaoyan Sun,Professor not found at WPI,N/A,N/A
CS 3516,Computer Networks   ,   Shubbhi Taneja,Professor not found at WPI,N/A,N/A
CS 3733,Software Engineering   ,   Wilson Wong,4.1,87%,4.1
CS 3733,Software Engineering   ,   Sakire Arslan Ay,5.0,100%,2
CS 4032,Numerical Methods For Linear And Nonlinear Systems   ,   Zhongqiang Zhang,3.0,31%,2.8
CS 4032,Numerical Methods For Linear And Nonlinear Systems   ,   Andrea Arnold,4.0,100%,2.5
CS 4123,Theory Of Computation   ,   Hanmeng Zhan,Professor not found at WPI,N/A,N/A
CS 4233,Object-Oriented Analysis And Design   ,   Gary Pollice,3.7,23%,3.1
CS 4241,Webware: Computational Technology For Network Information Systems   ,   Joshua Cuneo,2.7,40%,3.6
CS 4341,Introduction To Artificial Intelligence   ,   Xiaozhong Liu,Professor not found at WPI,N/A,N/A
CS 4342,Machine Learning   ,   Xiangnan Kong,2.9,50%,1.5
CS 4401,Software Security Engineering   ,   Jun Dai,Professor not found at WPI,N/A,N/A
CS 4432,Database Systems II   ,   Fabricio Murai,Professor not found at WPI,N/A,N/A
CS 4433,Big Data Management and Analytics   ,   Elke Rundensteiner,3.1,20%,2.8
CS 4513,Distributed Computing Systems   ,   Craig Wills,Professor not found at WPI,N/A,N/A
CS 4516,Advanced Computer Networks   ,   Xiaoyan Sun,Professor not found at WPI,N/A,N/A
CS 4731,Computer Graphics   ,   Joshua Cuneo,2.7,40%,3.6
CS 4801,Introduction To Cryptography And Communication Security   ,   Koksal Mus,2.8,50%,3
CS 4804,Data Visualization   ,   Lane Harrison,4.7,84%,3.3
