,Merged_Courses
"['DS_B', 'DS_EI']","['BUS_1010', 'BUS_3010', 'ETR_1100', 'ETR_3633']"
"['DS_B', 'DS_BA']","['BUS_2080', 'OIE_2081']"
['DS_C'],"['DS_1010', 'DS_2010', 'DS_3010']"
"['DS_DE', 'DS_MS']","['MA_1024', 'MA_2051', 'MA_2631', 'MA_2073', 'MA_1023', 'MA_2621', 'MA_2431', 'MA_2201', 'MA_3257', 'MA_2210', 'MA_3231', 'MA_1033']"
"['DS_DE', 'DS_CS']","['CS_2022', 'CS_3133', 'CS_2303', 'CS_3733', 'CS_2301']"
"['DS_DE', 'DS_CS', 'DS_4LDER', 'DS_DM']","['CS_4445', 'CS_4342']"
['DS_DE'],"['CS_3041', 'MKT_3650', 'OIE_3460', 'MIS_3787', 'MA_3631']"
"['DS_DE', 'DS_CS', 'DS_4LDER', 'DS_DB']","['CS_4432', 'DS_4433']"
"['DS_DE', 'DS_4LDER']","['DS_4635', 'MIS_4720', 'MIS_4741', 'MA_4222']"
"['DS_DE', 'DS_4LDER', 'DS_BM']",['MIS_4084']
"['DS_DE', 'DS_CS', 'DS_DB']",['CS_3431']
"['DS_DE', 'DS_MS', 'DS_4LDER']","['MA_4635', 'MA_4214', 'MA_4213', 'MA_4632', 'MA_4631', 'MA_4237']"
"['DS_DE', 'DS_CS', 'DS_4LDER']","['CS_4341', 'CS_4241', 'CS_4433', 'CS_4233', 'CS_480X', 'CS_4802']"
"['DS_DE', 'DS_DB']",['MIS_3720']
['DS_MS'],"['MA_2611', 'MA_2071', 'MA_2612', 'MA_1021', 'MA_1022', 'MA_2072', 'MA_1020', 'MA_1120', 'MA_1034']"
"['DS_MS', 'DS_4LDER']",['MA_4235']
['DS_NES'],"['AE_DEPT', 'AREN_DEPT', 'BB_DEPT', 'BME_DEPT', 'CHE_DEPT', 'CE_DEPT', 'CH_DEPT', 'ECE_DEPT', 'GE_DEPT', 'ME_DEPT', 'PH_DEPT', 'RBE_DEPT']"
"['DS_CS', 'DS_CS_1000_L']","['CS_1004', 'CS_1102', 'CS_1101']"
['DS_CS'],"['CS_2102', 'CS_2103', 'CS_2119', 'CS_4518']"
"['DS_CS', 'DS_ALGOS']",['CS_2223']
['DS_DPE'],"['CS_3043', 'RBE_3100', 'PY_2731', 'GOV_2314', 'GOV_2315', 'GOV_2313']"
['DS_4LDER'],"['CS_4120', 'DS_4999', 'CS_4803', 'CS_4999']"
['DS_EI'],"['OBC_1010', 'MIS_3010']"
['DS_BM'],['OIE_4430']
