,major,req_name,req_courses
0,Computer Science (BS),Computer Science - Advanced Level Requirement - Undergraduate - 15 Credits,"['CS_4342', 'CS_565', 'CS_502', 'CS_534', 'CS_4533', 'CS_4341', 'CS_4404', 'CS_4120', 'CS_4433', 'CS_4731', 'CS_4516', 'CS_528', 'CS_4432', 'CS_4241', 'IMGD_4099', 'CS_4445', 'DS_541', 'DS_4433', 'CS_4518', 'CS_584', 'CS_578', 'CS_5084', 'CS_4033', 'CS_4123', 'CS_542', 'CS_4401', 'CS_4801', 'CS_4513', 'CS_4233', 'CS_4032', 'DS_503', 'CS_541', 'CS_4999', 'CS_5003', 'CS_525', 'CS_509', 'CS_4802', 'CS_4536', 'CS_4100', 'CS_595', 'CS_503', 'CS_4803', 'CS_543', 'CS_548', 'CS_539', 'CS_526', 'CS_546', 'CS_536', 'CS_585', 'IMGD_4100', 'CS_549', 'ECE_4802', 'MA_3257', 'CS_4121', 'CS_553', 'CS_480X', 'CS_513', 'CS_558', 'MA_4891', 'IMGD_420X', 'CS_573', 'CS_547', 'CS_420X', 'CS_571', 'RBE_595', 'MA_3457', 'CS_4515']"
1,Computer Science (BS),Computer Science - Basic and/or Engineering Science Requirement - Undergraduate - 9 Credits,"['BB_1001', 'BME_1001', 'BB_1003', 'ES_2001', 'GE_2341', 'ECE_2010', 'PH_1110', 'ES_1310', 'ES_1020', 'ES_2501', 'CHE_1011', 'RBE_1001', 'PH_1130', 'ECE_2029', 'BB_1002', 'PH_1140', 'BB_1035', 'BB_2920', 'PH_3501', 'ME_1800', 'BB_1025', 'BB_1045', 'PH_115X', 'CH_1010', 'PH_2201', 'PH_2520', 'ECE_2019', 'BB_3120', 'BB_2050', 'BME_1004', 'BCB_1003', 'BB_2917', 'FY_1100', 'PH_2501', 'ES_1500', 'CH_1020', 'ECE_2305', 'PH_1111', 'PH_2202', 'PH_3401', 'FY_1101', 'ECE_579', 'CE_2000', 'CE_1030', 'ME_1520', 'RBE_2001', 'ES_2503', 'ECE_1799', 'EE_2011', 'EE_573', 'ECE_2049', 'BB_2040', 'CS_4803', 'CH_1030', 'ES_150X', 'PH_1121', 'BB_2550', 'CS_577', 'ES_3001', 'PH_1150', 'PH_1120', 'CE_3070', 'PH_2550', 'BME_2211', 'PH_3301', 'PH_2101', 'PH_2502', 'PH_4999', 'PH_2540']"
2,Computer Science (BS),Computer Science - Basic Science Discipline Requirement - Undergraduate - 6 Credits,"['PH_1110', 'PH_1120', 'BB_1035', 'BB_1001', 'BCB_1003', 'PH_2520', 'PH_3401', 'PH_1111', 'PH_1121', 'PH_1130', 'BB_1002', 'BB_1025', 'BB_2030', 'BB_2050', 'CH_1010', 'CH_1020', 'BB_2920', 'PH_1140', 'PH_2101', 'CH_2320', 'PH_2502', 'BB_1003', 'PH_2540', 'BB_1045', 'PH_2201', 'BB_2550', 'FY_1101', 'PH_2550']"
3,Computer Science (BS),Computer Science - Core Requirement - Undergraduate - 36 Credits,"['CS_2102', 'CS_1101', 'CS_2022', 'CS_2223', 'CS_2303', 'CS_3043', 'CS_4342', 'CS_565', 'CS_502', 'CS_534', 'CS_548', 'CS_3431', 'CS_2011', 'CS_3516', 'CS_4533', 'CS_4341', 'CS_4404', 'CS_4120', 'CS_2103', 'CS_3733', 'CS_4731', 'CS_4516', 'CS_528', 'CS_4432', 'CS_3041', 'CS_4241', 'CS_1004', 'CS_4445', 'DS_541', 'DS_4433', 'CS_4518', 'CS_578', 'CS_4999', 'CS_3133', 'CS_4401', 'CS_5084', 'CS_4033', 'CS_4513', 'CS_4123', 'CS_2301', 'CS_542', 'CS_4801', 'CS_4233', 'CS_1102', 'DS_503', 'CS_541', 'IMGD_4099', 'CS_4433', 'CS_5003', 'CS_525', 'CS_509', 'CS_4802', 'MA_2201', 'CS_4536', 'CS_4100', 'CS_3999', 'CS_595', 'CS_503', 'CS_4803', 'CS_4032', 'ECE_4802', 'CS_571', 'CS_543', 'CS_539', 'CS_526', 'CS_546', 'CS_536', 'CS_585', 'IMGD_4100', 'CS_549', 'CS_545', 'MA_3257', 'CS_2135', 'CS_2136', 'CS_ISP', 'CS_553', 'CS_584', 'CS_480X', 'CS_513', 'CS_573', 'CS_558', 'IMGD_420X', 'CS_547', 'RBE_595', 'RBE_470X', 'MA_3457', 'CS_4515', 'CS_586']"
4,Computer Science (BS),Computer Science - Design Requirement - Undergraduate - 3 Credits,"['CS_3041', 'CS_3431', 'CS_3733', 'CS_4233', 'CS_509', 'CS_542']"
5,Computer Science (BS),Computer Science - Mathematics Requirement - Undergraduate - 15 Credits,"['MA_1801', 'MA_1024', 'MA_1023', 'MA_2051', 'MA_1021', 'MA_1022', 'MA_2071', 'CS_2022', 'MA_1020', 'MA_2612', 'MA_2211', 'MA_2201', 'MA_2072', 'MA_2271', 'MA_1971', 'MA_3831', 'BCB_4004', 'CS_4032', 'MA_4451', 'MA_1033', 'MA_1034', 'CS_4033', 'MA_3231', 'MA_2273', 'MA_1003', 'MA_1004', 'MA_2210', 'DS_4635', 'MA_2251', 'MA_2073', 'MA_4891', 'MA_3457', 'MA_4235']"
6,Computer Science (BS),Computer Science - Probability and Statistics Requirement - Undergraduate - 6 Credits,"['MA_2621', 'MA_2611', 'MA_2631', 'MA_2612', 'MA_3613', 'CO_QCC']"
7,Computer Science (BS),Computer Science - Social Implication of Computing Requirement - Undergraduate - 3 Credits,"['CS_3043', 'GOV_2315', 'WR_253X', 'IMGD_2000', 'RBE_3100', 'GOV_2314', 'IMGD_2999']"
8,Computer Science (BS),Computer Science - Systems Requirement - Undergraduate - 3 Credits,"['CS_502', 'CS_3013', 'CS_4513', 'CS_4999', 'CS_3999', 'CS_513', 'CS_4516']"
9,Computer Science (BS),Computer Science - Theory and Languages Requirement - Undergraduate - 3 Credits,"['CS_3133', 'CS_584', 'CS_5084', 'CS_4533', 'CS_4123', 'CS_4120', 'CS_3999', 'CS_4536', 'CS_4121', 'CS_536']"
