,major,req_name,req_courses
0,Mechanical Engineering (BS),Basic Science - Chemistry and Physics Requirement - Undergraduate - 9 Credits,"{'PH_1110': 738, 'CH_1010': 982, 'PH_1120': 740, 'CH_1020': 167, 'PH_1121': 188, 'PH_111X': 9, 'PH_1111': 132, 'PH_1999': 1}"
1,Mechanical Engineering (BS),Bioinformatics and Computational Biology - Mathematics Requirement - Undergraduate - 15 Credits,"{'MA_1024': 464, 'MA_2051': 462, 'MA_1021': 125, 'MA_1022': 204, 'MA_1023': 405, 'MA_1020': 13, 'MA_1120': 1, 'MA_2071': 30, 'MA_2611': 20, 'MA_2621': 10, 'MA_1033': 1, 'MA_2612': 8, 'MA_2610': 1}"
2,Mechanical Engineering (BS),Capstone Design Experience Requirement - Undergraduate - 3 Credits,"{'ME_4429': 416, 'ME_4810': 76, 'ME_4320': 193, 'ME_4430': 7, 'ME_MQP': 78, 'ME_4422': 90, 'ME_4322': 66, 'ID_MQP': 4, 'RBE_4322': 1}"
3,Mechanical Engineering (BS),Courses Not Applicable - Undergraduate,"{'MA_1023': 90, 'PY_2719': 2, 'PH_1120': 39, 'ES_1310': 27, 'ID_2050': 7, 'ME_4832': 1, 'ID_PQP': 8, 'PH_1110': 41, 'MA_1024': 98, 'SP_1524': 4, 'MA_2071': 72, 'MU_2730': 3, 'CP_1003': 39, 'CP_1004': 43, 'CP_1005': 59, 'CS_1004': 14, 'ENV_1100': 3, 'ES_2501': 21, 'ES_3003': 20, 'ES_3004': 20, 'INTL_2910': 3, 'HU_3900': 14, 'PC_1000': 1752, 'WR_1010': 1, 'PE_1009': 12, 'PE_1054': 13, 'PE_1019': 14, 'MA_2251': 5, 'MA_3823': 5, 'PH_3206': 1, 'PH_2301': 1, 'MA_2273': 10, 'CS_3013': 36, 'CH_1020': 136, 'MA_1022': 62, 'CH_1040': 21, 'CE_3060': 3, 'BB_2904': 3, 'ME_4322': 5, 'CH_2310': 31, 'CH_2320': 16, 'BB_2003': 13, 'CS_2102': 58, 'PE_2016': 5, 'ES_3323': 13, 'CE_MQP': 4, 'EX_1000': 22, 'CP_1001': 51, 'CP_1002': 43, 'MA_2201': 16, 'PE_1099': 36, 'CH_2330': 11, 'PE_2010': 5, 'MA_3631': 4, 'MA_2212': 2, 'MA_2073': 4, 'MA_3212': 2, 'MA_MQP': 3, 'PE_1219': 4, 'BB_1001': 6, 'BB_1025': 3, 'ID_1999': 13, 'CS_4120': 8, 'CS_4233': 26, 'PH_2550': 2, 'AE_3703': 8, 'PE_2011': 1, 'MA_2210': 5, 'BUS_1010': 11, 'CS_2011': 23, 'CS_3516': 14, 'MU_3614': 1, 'CS_4731': 13, 'CS_1101': 92, 'ECON_1120': 24, 'CH_1010': 62, 'INT_1000': 77, 'PE_1204': 18, 'PY_3711': 2, 'MA_2611': 52, 'HU_2251': 2, 'MA_3831': 14, 'ID_IQP': 4, 'CE_2000': 10, 'MA_2621': 60, 'ECE_2049': 19, 'SS_1505': 8, 'ECE_2010': 15, 'CS_3431': 10, 'ECE_4902': 15, 'AR_2222': 3, 'PE_1011': 6, 'PE_1012': 14, 'ME_4506': 3, 'HU_2441': 1, 'BB_1035': 8, 'PY_2712': 3, 'BME_3505': 3, 'BME_4504': 1, 'BME_450X': 1, 'CH_1030': 57, 'CS_2119': 7, 'PE_2007': 6, 'BUS_3020': 4, 'BB_2550': 7, 'CS_2022': 30, 'ES_3002': 11, 'CHE_3301': 3, 'PE_1059': 3, 'CHE_3501': 3, 'CHE_4063': 2, 'ECE_3829': 16, 'CS_4342': 13, 'ENV_2999': 1, 'ENV_MQP': 2, 'BB_3102': 3, 'HI_2320': 2, 'ME_2300': 1, 'MU_2637': 3, 'MA_2612': 17, 'GN_2511': 1, 'CS_4032': 2, 'PE_1207': 12, 'MU_2723': 1, 'BCB_4002': 1, 'MU_2300': 1, 'CE_3059': 3, 'ES_2001': 43, 'ES_3001': 24, 'PE_1206': 4, 'ME_4840': 3, 'AE_4713': 3, 'AE_3711': 3, 'AE_4712': 3, 'CS_2303': 41, 'CS_2223': 24, 'CS_3133': 23, 'PE_1210': 12, 'ECE_2112': 7, 'RE_2721': 2, 'CE_2001': 15, 'CS_2301': 21, 'BUS_2080': 10, 'PE_1215': 6, 'PH_3504': 1, 'CS_3733': 4, 'CS_453X': 3, 'ECON_1110': 7, 'PSY_1401': 3, 'PE_1016': 1, 'CS_4241': 7, 'MA_1021': 19, 'FY_1800': 15, 'BB_2950': 8, 'PE_2001': 3, 'PH_1130': 9, 'PE_1212': 2, 'ECE_2311': 17, 'ECE_2312': 9, 'RBE_3001': 2, 'CS_3043': 8, 'RBE_3002': 7, 'ECE_3500': 5, 'ECE_2201': 6, 'GN_3512': 1, 'PH_2201': 22, 'PH_1121': 12, 'ME_3410': 1, 'ES_2502': 15, 'ME_3320': 9, 'PE_1006': 14, 'HI_2315': 2, 'PE_1055': 8, 'MA_3257': 1, 'MA_2631': 4, 'ECON_2125': 1, 'GOV_1303': 3, 'MU_2636': 2, 'OIE_3460': 3, 'CH_3530': 1, 'DS_3001': 4, 'ECE_2029': 7, 'ECE_3501': 7, 'PY_2717': 2, 'PY_3999': 1, 'ME_4512': 1, 'SD_1510': 1, 'BUS_2020': 4, 'CS_4401': 9, 'ME_1520': 2, 'PE_1209': 4, 'MU_1611': 5, 'BUS_1020': 1, 'RBE_2001': 1, 'PE_1002': 4, 'PE_1217': 6, 'ME_4422': 3, 'ME_MQP': 5, 'HI_1332': 1, 'HU_3910': 2, 'MU_2719': 1, 'PE_1205': 29, 'AE_3410': 2, 'MA_4235': 2, 'ECE_3012': 5, 'ECE_2019': 13, 'ECE_2305': 2, 'AE_4717': 2, 'PSY_1504': 3, 'ME_4429': 2, 'CH_4140': 2, 'PH_1111': 10, 'HI_2353': 1, 'ECE_3113': 6, 'ECE_3308': 3, 'MA_2051': 18, 'HI_2332': 2, 'CS_4341': 18, 'IMGD_3000': 3, 'CS_4518': 7, 'HI_1314': 1, 'CS_4432': 6, 'PE_303X': 2, 'AE_2713': 5, 'ECE_3849': 8, 'CH_4110': 11, 'CE_3022': 5, 'RBE_1001': 9, 'GOV_2320': 1, 'PE_1202': 9, 'MA_4216': 9, 'CHE_1011': 3, 'CS_MQP': 3, 'IMGD_1001': 1, 'CS_480X': 2, 'PSY_1412': 5, 'HU_211X': 1, 'ID_MQP': 7, 'ME_1800': 8, 'WR_2210': 1, 'OIE_3600': 3, 'PH_2601': 1, 'GOV_2319': 1, 'FIN_1250': 1, 'PE_1203': 12, 'RE_2731': 1, 'ECE_MQP': 2, 'MU_2501': 1, 'CS_4999': 3, 'CE_2020': 2, 'CHE_2012': 7, 'BB_3050': 2, 'CH_3410': 3, 'PE_1077': 5, 'ME_3703': 2, 'ECE_3503': 4, 'FIN_2250': 1, 'CS_1102': 5, 'ME_4821': 2, 'CH_2360': 1, 'BB_3511': 2, 'CH_4130': 2, 'CS_3041': 2, 'PH_3401': 1, 'MA_3231': 4, 'GOV_1301': 2, 'EN_2233': 1, 'CHE_3201': 6, 'ETR_1100': 5, 'RBE_4815': 2, 'AR_405X': 1, 'IMGD_2400': 1, 'HI_2324': 1, 'BB_2040': 2, 'MA_1020': 4, 'AR_1100': 7, 'BME_2811': 9, 'CE_3062': 1, 'PY_1731': 3, 'EN_2225': 1, 'MA_2610': 3, 'PE_1213': 2, 'GE_2341': 6, 'HI_2921': 1, 'DEV_1200': 2, 'INTL_4100': 1, 'BME_1004': 2, 'BME_4814': 5, 'CS_4516': 1, 'CS_4404': 3, 'GN_1511': 2, 'PE_1221': 4, 'OIE_3405': 1, 'EN_2226': 2, 'ES_2503': 7, 'BE_MQP': 2, 'SS_150X': 1, 'BME_4011': 1, 'BME_4023': 2, 'PE_2015': 2, 'CS_4533': 1, 'SP_3522': 2, 'CHE_2011': 3, 'BB_2050': 1, 'BB_2920': 9, 'CHE_2014': 2, 'CHE_4403': 1, 'BB_3101': 3, 'CH_4120': 1, 'PE_1018': 5, 'BB_2916': 1, 'BCB_3999': 1, 'BB_2902': 1, 'PH_2502': 1, 'ME_2820': 2, 'BB_2905': 1, 'BCB_4004': 1, 'BB_3920': 3, 'BB_3140': 1, 'PE_1216': 1, 'CM_MQP': 7, 'ES_3011': 3, 'MA_2271': 2, 'MA_4213': 1, 'PW_MQP': 1, 'CH_4420': 1, 'ECON_1130': 1, 'CE_4600': 1, 'PE_1015': 2, 'STS_1200': 1, 'OBC_4367': 2, 'ID_1000': 6, 'ETR_2910': 1, 'CE_1030': 1, 'ECE_3204': 2, 'CP_1000': 2, 'PY_2716': 2, 'PE_1008': 2, 'PH_111X': 5, 'SOC_1202': 3, 'ME_3310': 5, 'PSY_2410': 2, 'MA_3825': 2, 'BUS_2070': 1, 'INTL_1100': 2, 'MIS_3740': 1, 'MU_1511': 2, 'CS_4513': 1, 'MU_2722': 3, 'PE_1211': 2, 'AE_4711': 1, 'ME_3501': 2, 'ME_4320': 2, 'ME_3311': 3, 'MU_2632': 3, 'TH_2225': 1, 'PSY_2999': 1, 'CE_2002': 2, 'CE_3030': 2, 'CS_4123': 1, 'AE_2550': 2, 'AE_3999': 1, 'AE_4719': 3, 'PH_1140': 2, 'PE_1013': 1, 'HU_1412': 1, 'PSY_1400': 5, 'MA_4451': 2, 'PH_3402': 2, 'CS_210X': 1, 'MU_3002': 2, 'ECE_4802': 1, 'ME_4814': 1, 'CS_4445': 1, 'BB_1002': 2, 'BB_100X': 1, 'RE_2722': 1, 'HI_2314': 4, 'PSY_1402': 5, 'HU_2340': 1, 'SP_2521': 2, 'PY_2731': 1, 'BB_2915': 1, 'BME_3811': 1, 'EN_2252': 2, 'AR_2114': 1, 'AR_2111': 1, 'EN_2234': 1, 'CS_4802': 4, 'BB_1045': 1, 'ISE_2800': 1, 'MA_4895': 1, 'RBE_2002': 1, 'CS_4536': 3, 'MA_1120': 1, 'BUS_MQP': 1, 'CN_3999': 1, 'RBE_310X': 1, 'AR_1101': 1, 'AR_2201': 2, 'PY_2718': 4, 'MA_4411': 1, 'MIS_3720': 1, 'PE_1070': 8, 'PE_2002': 4, 'AR_2101': 2, 'SP_3521': 3, 'EN_1251': 3, 'HU_1411': 1, 'AREN_2025': 1, 'RE_2725': 1, 'CE_3008': 1, 'CH_2640': 1, 'CH_3510': 2, 'BB_2903': 1, 'BME_2610': 2, 'ID_2999': 2, 'PY_2711': 3, 'BME_3610': 1, 'BB_3003': 1, 'ML_2022': 2, 'EN_2232': 1, 'BME_3111': 1, 'GOV_2302': 1, 'BME_3014': 1, 'BB_3620': 1, 'SP_3525': 2, 'MU_2801': 2, 'BME_2211': 2, 'BME_3506': 1, 'BME_2511': 3, 'BME_1001': 1, 'BME_3813': 1, 'PE_1220': 2, 'MA_3457': 3, 'MA_3832': 3, 'OIE_4420': 1, 'PE_2008': 1, 'CHE_3999': 1, 'PE_304X': 3, 'ME_3602': 1, 'AE_2712': 2, 'HI_2325': 2, 'CH_2650': 1, 'FP_3070': 1, 'HU_206X': 1, 'HI_2343': 2, 'CE_4060': 1, 'HI_2318': 1, 'CE_3020': 1, 'SD_2520': 2, 'CE_3074': 1, 'HI_2313': 1, 'ECE_4703': 1, 'HI_2328': 3, 'PE_1017': 1, 'IMGD_205X': 1, 'IMGD_3200': 1, 'CS_4801': 1, 'AR_3101': 3, 'CS_4033': 1, 'GN_3511': 1, 'GN_3514': 1, 'IMGD_2048': 1, 'BB_2030': 2, 'MU_2631': 3, 'GN_2512': 1, 'PE_301X': 2, 'BUS_2060': 1, 'IMGD_4999': 1, 'EN_2219': 1, 'HI_3342': 1, 'ECE_4801': 1, 'FY_1100': 1, 'ECE_1799': 1, 'ETR_3999': 1, 'ECE_2799': 1, 'ECE_3999': 1, 'OIE_2081': 1, 'OIE_3510': 2, 'ISE_180X': 1, 'ISE_181X': 1, 'OIE_2850': 1, 'MU_3620': 1, 'IMGD_3500': 1, 'IMGD_MQP': 1, 'MA_3233': 1, 'MA_3627': 1, 'MA_3999': 1, 'PH_2501': 2, 'AE_3712': 1, 'ME_4505': 1, 'AR_1111': 1, 'ME_3902': 1, 'AE_3713': 1, 'ECE_3311': 1, 'WR_2310': 1, 'PH_MQP': 1, 'MA_2431': 1, 'RBE_4322': 1, 'EN_2237': 1, 'PH_2101': 1, 'ID_200X': 1, 'AR_100X': 1, 'RBE_4999': 1}"
4,Mechanical Engineering (BS),Engineering Electives Requirement - Undergraduate - 9 Credits,"{'ECE_2010': 194, 'ES_2501': 352, 'ES_2001': 312, 'ES_2502': 137, 'ES_3001': 94, 'AE_2712': 16, 'BME_2511': 9, 'BME_2210': 22, 'CS_2102': 51, 'ECE_2029': 33, 'ME_2300': 91, 'ECE_2019': 11, 'ES_2503': 32, 'ES_3003': 4, 'ME_2312': 14, 'CE_3030': 2, 'CS_2303': 2, 'RBE_2001': 37, 'ME_3703': 1, 'ES_3004': 13, 'ME_3310': 106, 'FP_3070': 9, 'CE_2000': 1, 'CE_2020': 1, 'BME_2811': 3, 'BME_3300': 13, 'AE_2713': 12, 'AE_3712': 7, 'CS_2022': 5, 'CS_3733': 1, 'ME_2820': 46, 'AE_2550': 2, 'AE_3602': 6, 'CS_2223': 3, 'BME_2610': 5, 'ME_3901': 1, 'ME_1800': 324, 'ES_1310': 333, 'CS_2301': 10, 'AREN_2023': 1, 'ME_4430': 1, 'ES_3323': 8, 'ME_4506': 1, 'ME_3410': 2, 'AE_3711': 1, 'ES_1020': 71, 'RBE_3100': 2, 'CS_2119': 2, 'ME_4320': 4, 'ECE_2201': 1, 'ME_4813': 1, 'ME_4429': 4, 'RBE_2002': 8, 'ES_2800': 2, 'OIE_3460': 1, 'CHE_2011': 2, 'CS_3043': 2, 'ECE_2049': 9, 'ES_3011': 5, 'ME_3320': 21, 'CS_2103': 4, 'BME_2211': 16, 'ME_4512': 1, 'ME_4504': 3, 'ME_3602': 1, 'ES_150X': 6, 'CHE_2012': 2, 'CHE_2014': 1, 'CHE_3201': 1, 'ME_4810': 2, 'CE_3022': 1, 'BME_3505': 5, 'BME_3503': 3, 'ME_1520': 1, 'BME_3811': 5, 'BME_3111': 10, 'ME_3506': 2, 'BME_2502': 2, 'ME_3999': 1, 'BME_4011': 1, 'FP_3080': 1, 'ME_3411': 2, 'CS_3041': 1, 'CE_3010': 1, 'ES_1500': 1, 'RBE_3001': 1, 'FY_1100': 2, 'ME_1999': 1, 'AE_4717': 1, 'ME_3820': 4, 'AREN_2025': 1, 'FY_1101': 2, 'OIE_3405': 1, 'BME_1004': 1, 'ES_200X': 1, 'BME_3813': 2, 'BME_4504': 1, 'BME_3506': 1, 'ES_3002': 3, 'ME_2999': 4, 'BME_3012': 2, 'BME_3013': 1, 'ME_3311': 2, 'ME_4821': 1, 'CHE_2013': 1, 'OIE_2850': 1, 'OIE_2081': 1, 'BME_3014': 1, 'AE_3410': 2, 'BME_2001': 1, 'ME_4840': 1, 'AREN_2002': 1}"
5,Mechanical Engineering (BS),Linear Algebra Activity Requirement - Undergraduate - 3 Credits,"{'MA_2071': 821, 'ME_3501': 6, 'ME_4512': 11, 'ME_4505': 2, 'ME_4322': 7, 'ME_3311': 4, 'BME_2811': 1, 'MA_2072': 1}"
6,Mechanical Engineering (BS),Math and Basic Science - Undergraduate - 12 Credits,"{'PH_1110': 213, 'MA_1024': 181, 'ENV_1100': 10, 'AR_1100': 9, 'MA_1021': 110, 'MA_1022': 146, 'CH_1010': 117, 'MA_1023': 223, 'PH_1120': 174, 'CH_1020': 95, 'MA_2051': 55, 'ETR_1100': 3, 'FY_1100': 102, 'INTL_1100': 6, 'AR_1101': 10, 'FY_1101': 92, 'MA_2611': 297, 'MA_2071': 410, 'PH_1111': 80, 'PH_1121': 46, 'MA_1020': 12, 'MA_2201': 11, 'CS_1101': 9, 'BB_1035': 64, 'PH_2201': 20, 'PH_1140': 45, 'PH_2651': 3, 'PH_2550': 25, 'BB_1025': 49, 'MA_2210': 11, 'CS_2022': 8, 'MA_2631': 7, 'MA_2273': 3, 'PH_1130': 62, 'MA_3631': 1, 'BB_2040': 4, 'BB_1002': 67, 'BB_2050': 12, 'MA_1033': 1, 'BB_1001': 82, 'BB_2903': 5, 'MA_4451': 4, 'PH_2202': 2, 'MA_4291': 1, 'PH_4999': 1, 'MA_2621': 85, 'GE_2341': 124, 'PH_2501': 3, 'BB_2550': 29, 'MA_2251': 5, 'PH_2520': 4, 'BB_1045': 8, 'BB_2904': 2, 'MA_1971': 6, 'MA_2211': 2, 'BB_2003': 1, 'MA_2073': 3, 'CH_1030': 9, 'CH_1040': 4, 'BB_2999': 1, 'BB_1003': 6, 'PH_2101': 5, 'BB_2920': 7, 'MA_2610': 3, 'BB_2950': 1, 'AE_2550': 9, 'BB_3120': 1, 'MA_2612': 19, 'BB_3080': 2, 'MA_2431': 5, 'CH_3510': 2, 'CH_2310': 4, 'CH_2320': 2, 'CH_3410': 1, 'MA_1801': 2, 'BB_100X': 1, 'CH_1999': 1, 'MA_2999': 1, 'BB_2030': 4, 'BB_2902': 1, 'PH_2540': 8, 'PH_2301': 1, 'CH_2640': 1, 'MA_1999': 1, 'PH_115X': 2, 'MA_3475': 1, 'PH_3503': 1, 'BB_3102': 5, 'MA_3257': 1, 'MA_3231': 2, 'PH_3504': 1, 'MA_3233': 1, 'PH_3301': 1}"
7,Mechanical Engineering (BS),Mechanical Engineering Electives 4000 Level or Above - Undergraduate - 9 Credits,"{'ME_4429': 581, 'ME_4810': 226, 'ME_4505': 12, 'ME_4813': 49, 'ME_4320': 345, 'ME_4815': 69, 'ME_4814': 53, 'ME_4606': 10, 'ME_4430': 24, 'ME_4422': 146, 'ME_4821': 59, 'ME_4322': 105, 'ME_4875': 51, 'ME_4506': 55, 'ME_4512': 56, 'ME_4504': 63, 'ME_4718': 19, 'ME_4840': 15, 'ME_4832': 38, 'ME_4999': 33, 'BME_4503': 5, 'BME_4504': 18, 'BME_4814': 14, 'RBE_4322': 5, 'BME_4201': 1, 'RBE_4815': 4, 'BME_4606': 2, 'CHE_4410': 1, 'CHE_4403': 1}"
8,Mechanical Engineering (BS),Mechanical Engineering Other Courses - Undergraduate - 9 Credits,"{'ECE_2010': 835, 'ES_2001': 891, 'ME_3901': 433, 'ECE_2029': 89, 'ECE_2049': 19, 'ECE_3501': 1, 'ECE_2019': 14, 'ME_3902': 317, 'ECE_2311': 3, 'ECE_2201': 2, 'ME_3999': 1, 'BME_2210': 5, 'BME_2811': 9, 'RBE_2002': 5, 'BME_4504': 1, 'BME_3505': 1, 'BME_3506': 1, 'BME_2001': 4, 'RBE_3002': 1}"
9,Mechanical Engineering (BS),Mechanical Engineering Thermodynamics Requirement - Undergraduate - 3 or 6 Credits,"{'ES_3001': 894, 'ES_2001': 5, 'PH_2101': 14, 'ES_2503': 2, 'AE_2712': 1, 'AE_2550': 1, 'ECE_2010': 1, 'ES_2501': 1, 'CH_3510': 5, 'RBE_2001': 3, 'ECE_2029': 1, 'ME_4506': 1, 'CHE_2011': 1, 'CHE_2013': 1, 'ME_2300': 2, 'ME_4320': 1, 'ME_4429': 1, 'RBE_2999': 1, 'RBE_2002': 1, 'CHE_2014': 1}"
