,major,req_name,req_courses
0,Computer Science (BS),Computer Science - Advanced Level Requirement - Undergraduate - 15 Credits,"{'CS_4342': 276, 'CS_4533': 20, 'CS_4341': 402, 'CS_4404': 72, 'CS_4120': 162, 'CS_4433': 23, 'CS_4731': 183, 'CS_4516': 53, 'CS_4432': 185, 'CS_4241': 288, 'IMGD_4099': 4, 'CS_4445': 138, 'DS_4433': 1, 'CS_4518': 193, 'CS_4033': 28, 'CS_4123': 56, 'CS_4401': 77, 'CS_4801': 102, 'CS_4513': 40, 'CS_4233': 164, 'CS_4032': 31, 'CS_4999': 93, 'CS_4802': 34, 'CS_4536': 42, 'CS_4100': 36, 'CS_4803': 13, 'IMGD_4100': 6, 'ECE_4802': 1, 'MA_3257': 5, 'CS_4121': 1, 'CS_480X': 15, 'MA_4891': 3, 'IMGD_420X': 1, 'CS_420X': 8, 'MA_3457': 2, 'CS_4515': 31, 'CS_DR__D': 2, 'ID_PQP': 3, 'RBE_4999': 1, 'BCB_4002': 2, 'CS_ISG': 4, 'CS_1102': 102, 'CS_2102': 216, 'CS_2022': 212, 'CS_2223': 292, 'CS_3733': 265, 'CS_3133': 260, 'CS_2303': 290, 'CS_3431': 195, 'CS_3516': 169, 'CS_3043': 248, 'CS_1101': 168, 'CS_3013': 271, 'CS_3041': 137, 'CS_2011': 267, 'CS_210X': 68, 'CS_3999': 5, 'CS_2103': 2, 'CS_2301': 5, 'CS_2999': 1}"
1,Computer Science (BS),Computer Science - Basic and/or Engineering Science Requirement - Undergraduate - 9 Credits,"{'BB_1001': 115, 'BME_1001': 36, 'BB_1003': 21, 'ES_2001': 38, 'GE_2341': 148, 'ECE_2010': 246, 'PH_1110': 174, 'ES_1310': 142, 'ES_1020': 34, 'ES_2501': 83, 'CHE_1011': 12, 'RBE_1001': 134, 'PH_1130': 80, 'ECE_2029': 123, 'BB_1002': 96, 'PH_1140': 50, 'BB_1035': 46, 'BB_2920': 4, 'PH_3501': 1, 'ME_1800': 44, 'BB_1025': 38, 'BB_1045': 13, 'PH_115X': 6, 'CH_1010': 85, 'PH_2201': 10, 'PH_2520': 1, 'ECE_2019': 16, 'BB_3120': 1, 'BB_2050': 22, 'BME_1004': 16, 'BCB_1003': 5, 'BB_2917': 1, 'FY_1100': 11, 'PH_2501': 4, 'ES_1500': 3, 'CH_1020': 45, 'ECE_2305': 4, 'PH_1111': 36, 'PH_2202': 5, 'PH_3401': 2, 'FY_1101': 20, 'CE_2000': 3, 'CE_1030': 6, 'ME_1520': 3, 'RBE_2001': 11, 'ES_2503': 5, 'ECE_1799': 9, 'EE_2011': 1, 'ECE_2049': 30, 'BB_2040': 2, 'CS_4803': 1, 'CH_1030': 6, 'ES_150X': 11, 'PH_1121': 26, 'BB_2550': 13, 'ES_3001': 12, 'PH_1150': 1, 'PH_1120': 148, 'CE_3070': 2, 'PH_2550': 8, 'BME_2211': 2, 'PH_3301': 1, 'PH_2101': 6, 'PH_2502': 4, 'PH_4999': 2, 'PH_2540': 6, 'PH_2510': 1, 'BB_2950': 2, 'ME_3999': 1, 'PH_2301': 1, 'BB_4801': 1, 'BB_3080': 1, 'ES_2800': 1, 'BB_2030': 5, 'CS_4801': 2, 'BME_2001': 1, 'ES_2502': 3, 'ECE_3849': 2, 'ECE_4801': 1, 'ME_2300': 1, 'MA_1024': 272, 'MA_2051': 150, 'MA_2071': 174, 'BB_2916': 1, 'MA_1023': 223, 'MA_2611': 194, 'MA_2621': 231, 'MA_1022': 93, 'MA_1021': 42, 'PH_112X': 1, 'MA_2211': 4, 'MA_2201': 39, 'MA_2612': 20, 'MA_2073': 6, 'ECE_2112': 1, 'MA_1971': 4, 'MA_2631': 8, 'RBE_2002': 5, 'MA_2273': 6, 'MA_3257': 1, 'ECE_4802': 2, 'BB_2903': 1, 'BB_2003': 2, 'MA_1033': 2, 'MA_1034': 2, 'MA_1801': 2, 'MA_2271': 5, 'MA_1020': 7, 'MA_2251': 2, 'MA_3831': 3, 'MA_3832': 2, 'MA_3823': 3, 'MA_1120': 2, 'CH_1040': 2, 'CHE_2011': 1, 'CHE_2012': 1, 'CH_2310': 2, 'CH_2320': 1, 'CHE_2013': 1, 'PH_101X': 2, 'MA_100X': 1, 'ECE_2312': 1, 'RBE_3100': 1, 'PH_3999': 1, 'ES_3011': 1, 'MA_3457': 1, 'MA_3233': 1, 'MA_4999': 1, 'MA_2431': 1, 'CH_2360': 1, 'ECE_2311': 2, 'MA_3231': 1, 'MA_2610': 1, 'MA_3627': 1, 'MA_3825': 1}"
2,Computer Science (BS),Computer Science - Basic Science Discipline Requirement - Undergraduate - 6 Credits,"{'PH_1110': 178, 'PH_1120': 238, 'BB_1035': 25, 'BB_1001': 41, 'BCB_1003': 4, 'PH_2520': 2, 'PH_3401': 1, 'PH_1111': 63, 'PH_1121': 54, 'PH_1130': 32, 'BB_1002': 33, 'BB_1025': 18, 'BB_2030': 2, 'BB_2050': 11, 'CH_1010': 6, 'CH_1020': 7, 'BB_2920': 2, 'PH_1140': 17, 'PH_2101': 3, 'CH_2320': 1, 'PH_2502': 2, 'BB_1003': 10, 'PH_2540': 2, 'BB_1045': 6, 'PH_2201': 6, 'BB_2550': 3, 'FY_1101': 4, 'PH_2550': 1, 'BB_100X': 1, 'CH_2310': 1, 'BB_2040': 2, 'PH_101X': 1, 'FY_1100': 1, 'PH_112X': 1}"
3,Computer Science (BS),Computer Science - Core Requirement - Undergraduate - 36 Credits,"{'CS_2102': 301, 'CS_1101': 251, 'CS_2022': 184, 'CS_2223': 427, 'CS_2303': 419, 'CS_3043': 383, 'CS_4342': 220, 'CS_3431': 151, 'CS_2011': 357, 'CS_3516': 211, 'CS_4533': 15, 'CS_4341': 254, 'CS_4404': 38, 'CS_4120': 69, 'CS_2103': 109, 'CS_3733': 149, 'CS_4731': 103, 'CS_4516': 20, 'CS_4432': 101, 'CS_3041': 106, 'CS_4241': 169, 'CS_1004': 1, 'CS_4445': 80, 'DS_4433': 1, 'CS_4518': 116, 'CS_4999': 65, 'CS_3133': 2, 'CS_4401': 47, 'CS_4033': 18, 'CS_4513': 28, 'CS_4123': 24, 'CS_2301': 3, 'CS_4801': 55, 'CS_4233': 88, 'CS_1102': 132, 'IMGD_4099': 4, 'CS_4433': 23, 'CS_4802': 24, 'MA_2201': 23, 'CS_4536': 17, 'CS_4100': 22, 'CS_3999': 8, 'CS_4803': 7, 'CS_4032': 24, 'ECE_4802': 4, 'IMGD_4100': 6, 'MA_3257': 10, 'CS_2135': 1, 'CS_2136': 1, 'CS_ISP': 5, 'CS_480X': 13, 'IMGD_420X': 1, 'RBE_470X': 1, 'MA_3457': 1, 'CS_4515': 11, 'CS_DR__D': 2, 'CS_210X': 4, 'CS_3013': 1, 'CS_420X': 6, 'RBE_4999': 1, 'BCB_4002': 2, 'CS_2999': 1, 'BCB_4003': 1, 'CS_ISG': 3}"
4,Computer Science (BS),Computer Science - Design Requirement - Undergraduate - 3 Credits,"{'CS_3041': 159, 'CS_3431': 186, 'CS_3733': 386, 'CS_4233': 6}"
5,Computer Science (BS),Computer Science - Mathematics Requirement - Undergraduate - 15 Credits,"{'MA_1801': 2, 'MA_1024': 402, 'MA_1023': 290, 'MA_2051': 209, 'MA_1021': 59, 'MA_1022': 98, 'MA_2071': 314, 'CS_2022': 111, 'MA_1020': 10, 'MA_2612': 33, 'MA_2211': 2, 'MA_2201': 34, 'MA_2072': 9, 'MA_2271': 9, 'MA_1971': 12, 'MA_3831': 5, 'BCB_4004': 2, 'CS_4032': 4, 'MA_4451': 1, 'MA_1033': 11, 'MA_1034': 10, 'CS_4033': 4, 'MA_3231': 5, 'MA_2273': 5, 'MA_1003': 1, 'MA_1004': 1, 'MA_2210': 3, 'DS_4635': 4, 'MA_2251': 3, 'MA_2073': 7, 'MA_4891': 2, 'MA_3457': 1, 'MA_4235': 1, 'MA_2611': 2, 'MA_3257': 1, 'MA_3233': 1, 'MA_4635': 1, 'MA_2621': 1, 'MA_3832': 1, 'MA_2431': 3, 'MA_2631': 1, 'MA_463X': 1, 'MA_3823': 2, 'MA_3631': 1}"
6,Computer Science (BS),Computer Science - Probability and Statistics Requirement - Undergraduate - 6 Credits,"{'MA_2621': 690, 'MA_2611': 586, 'MA_2631': 44, 'MA_2612': 20, 'MA_3613': 1, 'CO_QCC': 1, 'MA_3631': 1}"
7,Computer Science (BS),Computer Science - Social Implication of Computing Requirement - Undergraduate - 3 Credits,"{'CS_3043': 650, 'GOV_2315': 12, 'WR_253X': 1, 'IMGD_2000': 42, 'RBE_3100': 6, 'GOV_2314': 19, 'IMGD_2999': 1, 'IMGD_2001': 8}"
8,Computer Science (BS),Computer Science - Theory and Languages Requirement - Undergraduate - 3 Credits,"{'CS_3133': 643, 'CS_4533': 6, 'CS_4123': 11, 'CS_4120': 42, 'CS_3999': 1, 'CS_4536': 15, 'CS_4121': 1}"
9,Computer Science (BS),Computer Science Free Electives Requirement - Undergraduate - 9 Credits,"{'IMGD_1001': 55, 'IMGD_1000': 39, 'IMGD_4999': 3, 'CS_2119': 2, 'GOV_2315': 1, 'MU_3620': 1, 'IMGD_2500': 6, 'IMGD_1002': 31, 'ID_PQP': 191, 'CS_4342': 7, 'DS_1010': 46, 'BUS_1010': 39, 'MA_2212': 3, 'IMGD_3000': 10, 'IMGD_4000': 2, 'PH_1140': 4, 'ES_2501': 27, 'ECE_2049': 24, 'ECE_2029': 27, 'RBE_2001': 26, 'ID_2050': 19, 'MA_1801': 2, 'CS_4731': 4, 'IMGD_4099': 1, 'CS_4032': 1, 'MA_2071': 17, 'RBE_3100': 1, 'FY_1100': 8, 'BB_1035': 4, 'CS_2999': 1, 'MA_1022': 1, 'PE_1099': 2, 'OIE_2850': 1, 'PE_1070': 1, 'EN_1251': 1, 'BUS_200X': 5, 'ETR_1100': 30, 'MA_3832': 2, 'ID_130X': 1, 'MA_2073': 9, 'ECE_2311': 5, 'MU_2999': 2, 'ECE_2201': 3, 'BUS_2080': 22, 'DS_2010': 22, 'BUS_2020': 7, 'BUS_2060': 11, 'IMGD_3100': 2, 'INTL_2520': 1, 'SS_1505': 2, 'BB_2920': 3, 'BB_2950': 2, 'BB_2040': 1, 'MA_2431': 1, 'MA_2271': 2, 'CN_2544': 1, 'CN_3541': 2, 'CN_3542': 1, 'ECE_2019': 9, 'ECE_3849': 6, 'BUS_3010': 5, 'CS_1004': 7, 'FY_1101': 14, 'ES_150X': 1, 'MA_2612': 3, 'RBE_1001': 12, 'ES_3011': 3, 'IMGD_3030': 1, 'PSY_2401': 1, 'PSY_2502': 1, 'PSY_1402': 1, 'AE_2712': 1, 'AE_2713': 1, 'AE_3712': 1, 'CS_4120': 6, 'CS_MQP': 15, 'CS_4401': 5, 'ES_1310': 12, 'HI_2335': 2, 'ECE_2010': 13, 'FIN_1250': 13, 'CS_4518': 1, 'RBE_2002': 10, 'MA_2051': 5, 'AR_1100': 6, 'BUS_1020': 6, 'PE_2001': 9, 'PY_1731': 2, 'MU_1611': 4, 'FY_1800': 10, 'IMGD_2030': 12, 'MIS_4741': 1, 'RBE_2999': 2, 'MIS_4084': 1, 'MU_ISP': 1, 'ID_IQP': 5, 'BUS_2070': 7, 'PE_2006': 5, 'BB_2050': 2, 'HI_2345': 1, 'MU_3614': 1, 'PH_2520': 2, 'DS_3010': 5, 'MIS_4999': 3, 'ES_1020': 1, 'IMGD_2000': 14, 'ECON_2120': 2, 'ECON_2117': 2, 'DS_4999': 5, 'CP_110X': 1, 'BME_1004': 1, 'CH_1040': 1, 'BB_2550': 1, 'CH_2640': 1, 'ID_2999': 2, 'ETR_2910': 2, 'EN_121X': 1, 'RE_1731': 1, 'RE_2721': 1, 'MA_2211': 2, 'FIN_3300': 2, 'BUS_3020': 3, 'HI_2313': 1, 'EN_2219': 2, 'WR_3300': 2, 'AS_1001': 1, 'CS_4432': 6, 'ME_3902': 2, 'MU_2510': 1, 'PSY_1400': 2, 'MA_3831': 6, 'HI_3999': 1, 'CS_4801': 1, 'AR_100X': 1, 'ES_2001': 3, 'ECE_3829': 3, 'MU_3616': 2, 'CS_4433': 3, 'ENV_1100': 1, 'PE_1006': 1, 'TH_4225': 1, 'TH_2227': 1, 'TH_4227': 1, 'MA_1971': 1, 'OIE_2081': 1, 'ME_4999': 1, 'AR_2301': 1, 'AR_2750': 1, 'CS_4445': 7, 'EN_3219': 2, 'AREN_2023': 1, 'MU_2300': 1, 'ME_4832': 1, 'AE_3602': 1, 'AE_3713': 1, 'AE_3410': 1, 'CS_4999': 10, 'ECE_2305': 1, 'MU_2637': 3, 'PH_2550': 2, 'CS_4515': 4, 'EN_2251': 1, 'BCB_3010': 2, 'BB_2916': 1, 'BB_3526': 1, 'CS_4241': 4, 'WR_401X': 1, 'WR_3112': 2, 'PE_2014': 5, 'PE_2011': 7, 'DS_3001': 6, 'MIS_3787': 1, 'GE_2341': 2, 'MA_3825': 1, 'MU_2636': 1, 'CS_4123': 2, 'ME_1800': 5, 'CS_3431': 1, 'CS_4404': 4, 'MU_2638': 2, 'HU_2999': 1, 'FIN_3250': 2, 'CS_4516': 1, 'CS_4533': 1, 'ME_3999': 1, 'HI_3343': 2, 'PE_2010': 6, 'CN_3543': 2, 'HU_2340': 3, 'HI_2310': 1, 'WR_2310': 1, 'EN_3238': 1, 'PE_1019': 1, 'PE_1080': 1, 'GN_3513': 1, 'CN_356X': 1, 'ES_3001': 1, 'MU_2611': 1, 'PE_1013': 1, 'BB_2030': 1, 'GOV_2314': 2, 'AR_2101': 1, 'CS_4233': 4, 'HI_2328': 1, 'CS_4341': 5, 'CS_480X': 1, 'CS_4513': 3, 'MA_2273': 3, 'SP_3529': 1, 'PE_1054': 2, 'AR_2111': 1, 'PE_2016': 1, 'AR_2401': 4, 'BB_1001': 1, 'HI_3312': 1, 'PE_1221': 1, 'IMGD_2001': 1, 'BCB_100X': 1, 'PE_1201': 1, 'PE_1209': 1, 'EN_2221': 1, 'CS_3516': 1, 'CS_3999': 1, 'AR_2202': 2, 'PY_3999': 1, 'HI_2324': 1, 'HI_1330': 1, 'MA_4451': 1, 'MU_1511': 1, 'GOV_1320': 1, 'WR_1010': 2, 'IMGD_2900': 2, 'PH_2202': 1, 'PH_3401': 1, 'AR_3222': 1, 'CN_1541': 1, 'PE_2005': 2, 'RBE_3001': 1, 'AR_1101': 1, 'EN_2244': 1, 'ECON_1120': 3, 'MA_3823': 2, 'MA_3233': 1, 'CS_4802': 1, 'WR_1011': 1, 'ECE_2312': 1, 'ETR_3633': 1, 'ECON_1110': 1, 'PE_1018': 2, 'PE_2009': 1, 'MA_3627': 1, 'MA_4213': 2, 'MIS_3720': 1, 'MA_4635': 1, 'PSY_1504': 1, 'PSY_1412': 1, 'PSY_340X': 1, 'RBE_3002': 1, 'MA_3231': 1, 'IMGD_2905': 1, 'ES_2502': 1, 'IMGD_440X': 1, 'WPI_1000': 1, 'IMGD_2400': 1, 'MA_4235': 1, 'PH_2101': 1, 'PH_2651': 1, 'PH_2301': 1}"
