,major,req_name,req_courses
0,Computer Science (BS),Computer Science - Advanced Level Requirement - Undergraduate - 15 Credits,"['CS_4342', 'CS_4533', 'CS_4341', 'CS_4404', 'CS_4120', 'CS_4433', 'CS_4731', 'CS_4516', 'CS_4432', 'CS_4241', 'CS_4445', 'DS_4433', 'CS_4518', 'CS_4033', 'CS_4123', 'CS_4401', 'CS_4801', 'CS_4513', 'CS_4233', 'CS_4032', 'CS_4999', 'CS_4802', 'CS_4536', 'CS_4100', 'CS_4803', 'IMGD_4100', 'ECE_4802', 'MA_3257', 'CS_4121', 'CS_480X', 'IMGD_420X', 'CS_420X', 'MA_3457', 'CS_4515', 'RBE_4999', 'BCB_4002']"
1,Computer Science (BS),Computer Science - Basic and/or Engineering Science Requirement - Undergraduate - 9 Credits,"['BB_1001', 'BME_1001', 'BB_1003', 'ES_2001', 'GE_2341', 'ECE_2010', 'PH_1110', 'ES_1310', 'ES_1020', 'ES_2501', 'CHE_1011', 'RBE_1001', 'PH_1130', 'ECE_2029', 'BB_1002', 'PH_1140', 'BB_1035', 'BB_2920', 'PH_3501', 'ME_1800', 'BB_1025', 'BB_1045', 'PH_115X', 'CH_1010', 'PH_2201', 'PH_2520', 'ECE_2019', 'BB_3120', 'BB_2050', 'BME_1004', 'BCB_1003', 'BB_2917', 'FY_1100', 'PH_2501', 'ES_1500', 'CH_1020', 'ECE_2305', 'PH_1111', 'PH_2202', 'PH_3401', 'FY_1101', 'CE_2000', 'CE_1030', 'ME_1520', 'RBE_2001', 'ES_2503', 'ECE_1799', 'EE_2011', 'ECE_2049', 'BB_2040', 'CS_4803', 'CH_1030', 'ES_150X', 'PH_1121', 'BB_2550', 'ES_3001', 'PH_1150', 'PH_1120', 'CE_3070', 'PH_2550', 'BME_2211', 'PH_3301', 'PH_2101', 'PH_2502', 'PH_4999', 'PH_2540', 'PH_2510', 'BB_2950', 'ME_3999', 'PH_2301', 'BB_4801', 'BB_3080', 'ES_2800', 'BB_2030', 'CS_4801', 'BME_2001', 'ES_2502', 'ECE_3849', 'ECE_4801', 'ME_2300', 'MA_1024', 'MA_2051', 'MA_2071', 'BB_2916', 'MA_1023', 'MA_2611', 'MA_2621', 'MA_1022', 'MA_1021', 'PH_112X', 'MA_2211', 'MA_2201', 'MA_2612', 'MA_2073', 'ECE_2112', 'MA_1971', 'MA_2631', 'RBE_2002', 'MA_2273', 'MA_3257', 'ECE_4802', 'BB_2903', 'BB_2003', 'MA_1033', 'MA_1034', 'MA_1801', 'MA_2271', 'MA_1020', 'MA_2251', 'MA_3831', 'MA_3832', 'MA_3823', 'MA_1120', 'CH_1040', 'CHE_2011', 'CHE_2012', 'CH_2310', 'CH_2320', 'CHE_2013', 'PH_101X', 'MA_100X', 'ECE_2312', 'RBE_3100', 'PH_3999', 'ES_3011', 'MA_3457', 'MA_3233', 'MA_4999', 'MA_2431', 'CH_2360', 'ECE_2311', 'MA_3231', 'MA_2610', 'MA_3627', 'MA_3825']"
2,Computer Science (BS),Computer Science - Basic Science Discipline Requirement - Undergraduate - 6 Credits,"['PH_1110', 'PH_1120', 'BB_1035', 'BB_1001', 'BCB_1003', 'PH_2520', 'PH_3401', 'PH_1111', 'PH_1121', 'PH_1130', 'BB_1002', 'BB_1025', 'BB_2030', 'BB_2050', 'CH_1010', 'CH_1020', 'BB_2920', 'PH_1140', 'PH_2101', 'CH_2320', 'PH_2502', 'BB_1003', 'PH_2540', 'BB_1045', 'PH_2201', 'BB_2550', 'PH_2550', 'BB_100X', 'CH_2310', 'BB_2040', 'PH_101X', 'FY_1100', 'PH_112X']"
3,Computer Science (BS),Computer Science - Core Requirement - Undergraduate - 36 Credits,"['CS_2102', 'CS_1101', 'CS_2022', 'CS_2223', 'CS_2303', 'CS_3043', 'CS_4342', 'CS_3431', 'CS_2011', 'CS_3516', 'CS_4533', 'CS_4341', 'CS_4404', 'CS_4120', 'CS_2103', 'CS_3733', 'CS_4731', 'CS_4516', 'CS_4432', 'CS_3041', 'CS_4241', 'CS_4445', 'DS_4433', 'CS_4518', 'CS_4999', 'CS_3133', 'CS_4401', 'CS_4033', 'CS_4513', 'CS_4123', 'CS_2301', 'CS_4801', 'CS_4233', 'CS_1102', 'CS_4433', 'CS_4802', 'MA_2201', 'CS_4536', 'CS_4100', 'CS_3999', 'CS_4803', 'CS_4032', 'ECE_4802', 'IMGD_4100', 'MA_3257', 'MA_3457', 'CS_4515', 'CS_3013', 'CS_420X', 'BCB_4002', 'CS_2999', 'BCB_4003']"
4,Computer Science (BS),Computer Science - Design Requirement - Undergraduate - 3 Credits,"['CS_3041', 'CS_3431', 'CS_3733', 'CS_4233']"
5,Computer Science (BS),Computer Science - Mathematics Requirement - Undergraduate - 15 Credits,"['MA_1801', 'MA_1024', 'MA_1023', 'MA_2051', 'MA_1021', 'MA_1022', 'MA_2071', 'CS_2022', 'MA_1020', 'MA_2612', 'MA_2211', 'MA_2201', 'MA_2072', 'MA_2271', 'MA_1971', 'MA_3831', 'CS_4032', 'MA_4451', 'MA_1033', 'MA_1034', 'CS_4033', 'MA_3231', 'MA_2273', 'MA_2210', 'DS_4635', 'MA_2251', 'MA_2073', 'MA_4891', 'MA_3457', 'MA_4235', 'MA_2611', 'MA_3257', 'MA_3233', 'MA_4635', 'MA_2621', 'MA_3832', 'MA_2431', 'MA_2631', 'MA_463X', 'MA_3823', 'MA_3631']"
6,Computer Science (BS),Computer Science - Probability and Statistics Requirement - Undergraduate - 6 Credits,"['MA_2621', 'MA_2611', 'MA_2631', 'MA_2612']"
7,Computer Science (BS),Computer Science - Social Implication of Computing Requirement - Undergraduate - 3 Credits,"['CS_3043', 'GOV_2315', 'IMGD_2000', 'RBE_3100', 'GOV_2314', 'IMGD_2999', 'IMGD_2001']"
8,Computer Science (BS),Computer Science - Theory and Languages Requirement - Undergraduate - 3 Credits,"['CS_3133', 'CS_4533', 'CS_4123', 'CS_4120', 'CS_4536']"
9,Computer Science (BS),Computer Science Free Electives Requirement - Undergraduate - 9 Credits,"['IMGD_1001', 'IMGD_1000', 'IMGD_4999', 'CS_2119', 'GOV_2315', 'MU_3620', 'IMGD_2500', 'IMGD_1002', 'ID_PQP', 'CS_4342', 'DS_1010', 'BUS_1010', 'MA_2212', 'IMGD_3000', 'IMGD_4000', 'PH_1140', 'ES_2501', 'ECE_2049', 'ECE_2029', 'RBE_2001', 'ID_2050', 'MA_1801', 'CS_4731', 'IMGD_4099', 'CS_4032', 'MA_2071', 'RBE_3100', 'FY_1100', 'BB_1035', 'CS_2999', 'MA_1022', 'PE_1099', 'OIE_2850', 'PE_1070', 'EN_1251', 'BUS_200X', 'ETR_1100', 'MA_3832', 'ID_130X', 'MA_2073', 'ECE_2311', 'MU_2999', 'ECE_2201', 'BUS_2080', 'DS_2010', 'BUS_2020', 'BUS_2060', 'IMGD_3100', 'INTL_2520', 'SS_1505', 'BB_2920', 'BB_2950', 'BB_2040', 'MA_2431', 'MA_2271', 'CN_2544', 'CN_3541', 'CN_3542', 'ECE_2019', 'ECE_3849', 'BUS_3010', 'CS_1004', 'FY_1101', 'ES_150X', 'MA_2612', 'RBE_1001', 'ES_3011', 'IMGD_3030', 'PSY_2401', 'PSY_2502', 'PSY_1402', 'AE_2712', 'AE_2713', 'AE_3712', 'CS_4120', 'CS_MQP', 'CS_4401', 'ES_1310', 'HI_2335', 'ECE_2010', 'FIN_1250', 'CS_4518', 'RBE_2002', 'MA_2051', 'AR_1100', 'BUS_1020', 'PE_2001', 'PY_1731', 'MU_1611', 'FY_1800', 'IMGD_2030', 'MIS_4741', 'RBE_2999', 'MIS_4084', 'MU_ISP', 'ID_IQP', 'BUS_2070', 'PE_2006', 'BB_2050', 'HI_2345', 'MU_3614', 'PH_2520', 'DS_3010', 'MIS_4999', 'ES_1020', 'IMGD_2000', 'ECON_2120', 'ECON_2117', 'DS_4999', 'CP_110X', 'BME_1004', 'CH_1040', 'BB_2550', 'CH_2640', 'ID_2999', 'ETR_2910', 'EN_121X', 'RE_1731', 'RE_2721', 'MA_2211', 'FIN_3300', 'BUS_3020', 'HI_2313', 'EN_2219', 'WR_3300', 'AS_1001', 'CS_4432', 'ME_3902', 'MU_2510', 'PSY_1400', 'MA_3831', 'HI_3999', 'CS_4801', 'AR_100X', 'ES_2001', 'ECE_3829', 'MU_3616', 'CS_4433', 'ENV_1100', 'PE_1006', 'TH_4225', 'TH_2227', 'TH_4227', 'MA_1971', 'OIE_2081', 'ME_4999', 'AR_2301', 'AR_2750', 'CS_4445', 'EN_3219', 'AREN_2023', 'MU_2300', 'ME_4832', 'AE_3602', 'AE_3713', 'AE_3410', 'CS_4999', 'ECE_2305', 'MU_2637', 'PH_2550', 'CS_4515', 'EN_2251', 'BCB_3010', 'BB_2916', 'BB_3526', 'CS_4241', 'WR_401X', 'WR_3112', 'PE_2014', 'PE_2011', 'DS_3001', 'MIS_3787', 'GE_2341', 'MA_3825', 'MU_2636', 'CS_4123', 'ME_1800', 'CS_3431', 'CS_4404', 'MU_2638', 'HU_2999', 'FIN_3250', 'CS_4516', 'CS_4533', 'ME_3999', 'HI_3343', 'PE_2010', 'CN_3543', 'HU_2340', 'HI_2310', 'WR_2310', 'EN_3238', 'PE_1019', 'PE_1080', 'GN_3513', 'CN_356X', 'ES_3001', 'MU_2611', 'PE_1013', 'BB_2030', 'GOV_2314', 'AR_2101', 'CS_4233', 'HI_2328', 'CS_4341', 'CS_480X', 'CS_4513', 'MA_2273', 'SP_3529', 'PE_1054', 'AR_2111', 'PE_2016', 'AR_2401', 'BB_1001', 'HI_3312', 'PE_1221', 'IMGD_2001', 'BCB_100X', 'PE_1201', 'PE_1209', 'EN_2221', 'CS_3516', 'CS_3999', 'AR_2202', 'PY_3999', 'HI_2324', 'HI_1330', 'MA_4451', 'MU_1511', 'GOV_1320', 'WR_1010', 'IMGD_2900', 'PH_2202', 'PH_3401', 'AR_3222', 'CN_1541', 'PE_2005', 'RBE_3001', 'AR_1101', 'EN_2244', 'ECON_1120', 'MA_3823', 'MA_3233', 'CS_4802', 'WR_1011', 'ECE_2312', 'ETR_3633', 'ECON_1110', 'PE_1018', 'PE_2009', 'MA_3627', 'MA_4213', 'MIS_3720', 'MA_4635', 'PSY_1504', 'PSY_1412', 'PSY_340X', 'RBE_3002', 'MA_3231', 'IMGD_2905', 'ES_2502', 'IMGD_440X', 'WPI_1000', 'IMGD_2400', 'MA_4235', 'PH_2101', 'PH_2651', 'PH_2301']"
